,AUID,NAME,COUNTY,geometry,status
714,10-0012-00,Ann,Carver,,Impaired
717,19-0081-00,Augusta,Dakota,,Impaired
726,10-0019-00,Bavaria,Carver,,Impaired
734,10-0069-00,Benton,Carver,,Impaired
768,19-0059-00,Blackhawk,Dakota,,Impaired
831,27-0067-00,Bryant,Hennepin,,Impaired
841,10-0084-00,Burandt,Carver,,Impaired
842,27-0047-00,Bush,Hennepin,,Impaired
852,19-0066-00,Carlson,Dakota,,Impaired
860,70-0091-00,Cedar,Scott,,Impaired
924,70-0022-00,Cleary,Scott,,Impaired
944,27-0028-01,Cornelia (North),Hennepin,,Impaired
945,27-0028-02,Cornelia (South),Hennepin,,Impaired
1094,19-0027-00,Crystal,Dakota,,Impaired
1096,70-0052-00,Cynthia,Scott,,Impaired
1145,27-0029-00,Edina,Hennepin,,Impaired
1171,19-0057-00,Fish,Dakota,,Impaired
1174,70-0069-00,Fish,Scott,,Impaired
1200,10-0031-00,Gaystock,Carver,,Impaired
1207,10-0089-00,Goose,Carver,,Impaired
1231,10-0014-00,Hazeltine,Carver,,Impaired
1259,10-0088-00,Hydes,Carver,,Impaired
1261,27-0048-00,Hyland,Hennepin,,Impaired
1273,10-0217-00,Jonathan,Carver,,Impaired
1331,19-0025-00,Keller,Dakota,,Impaired
1332,19-0446-00,Lac Lavon,Dakota,,Impaired
1395,19-0055-00,Lemay,Dakota,,Impaired
1446,10-0006-00,Lotus,Carver,,Impaired
1449,70-0026-00,Lower Prior,Scott,,Impaired
1451,10-0007-00,Lucy,Carver,,Impaired
1467,10-0058-00,Maria,Carver,,Impaired
1472,10-0216-00,McKnight,Carver,,Impaired
1473,70-0050-00,McMahon,Scott,,Impaired
1478,10-0029-00,Miller,Carver,,Impaired
1575,70-0010-00,Murphy,Scott,,Impaired
1596,70-0095-00,O'Dowd,Scott,,Impaired
1603,19-0031-00,Orchard,Dakota,,Impaired
1618,27-0004-00,Penn,Hennepin,,Impaired
1633,70-0076-00,Pike,Scott,,Impaired
1634,70-0098-00,Pleasant,Scott,,Impaired
1683,27-0076-00,Red Rock,Hennepin,,Impaired
1714,10-0052-00,Reitz,Carver,,Impaired
1723,10-0001-00,Rice Marsh,Hennepin,,Impaired
1724,10-0002-00,Riley,Carver,,Impaired
1741,27-0092-00,Rose,Hennepin,,Impaired
1742,27-0071-00,Round,Hennepin,,Impaired
1765,10-0080-00,Rutz,Carver,,Impaired
1787,70-0120-02,Schneider,Scott,,Impaired
1814,27-0136-00,Silver,Hennepin,,Impaired
1832,27-0073-00,Smetana,Hennepin,,Impaired
1835,27-0001-00,Snelling,Hennepin,,Impaired
1844,70-0054-00,Spring,Scott,,Impaired
1867,70-0029-00,St. Catherine,Scott,,Impaired
1870,27-0078-00,Staring,Hennepin,,Impaired
1881,10-0013-00,Susan,Carver,,Impaired
1897,70-0120-01,Thole,Scott,,Impaired
1918,10-0218-00,Unnamed,Carver,,Impaired
1921,19-0064-00,Unnamed,Dakota,,Impaired
1922,19-0077-00,Unnamed,Dakota,,Impaired
1923,19-0136-00,Unnamed,Dakota,,Impaired
2142,70-0072-00,Upper Prior,Scott,,Impaired
2149,10-0059-00,Waconia,Carver,,Impaired
2212,27-0091-00,Wing,Hennepin,,Impaired
2213,10-0066-00,Winkler,Carver,,Impaired
3413,82-0076-00,Barker,Washington,,Impaired
3420,82-0120-00,Benz,Washington,,Impaired
3421,82-0049-00,Big Carnelian,Washington,,Impaired
3422,82-0052-02,Big Marine (Jellums),Washington,,Impaired
3423,82-0052-04,Big Marine (Main Lake),Washington,,Impaired
3426,82-0054-00,Bone,Washington,,Impaired
3443,02-0042-00,Coon,Anoka,,Impaired
3446,82-0101-00,DeMontreville,Washington,,Impaired
3447,82-0110-00,Downs,Washington,,Impaired
3448,82-0034-00,East Boot,Washington,,Impaired
3454,82-0106-00,Elmo,Washington,,Impaired
3460,82-0064-00,Fish,Washington,,Impaired
3461,82-0159-00,Forest,Washington,,Impaired
3465,82-0059-00,Goose,Washington,,Impaired
3471,82-0113-02,Goose (South),Washington,,Impaired
3489,82-0065-00,Hay,Washington,,Impaired
3495,82-0104-00,Jane,Washington,,Impaired
3518,82-0023-00,Lily,Washington,,Impaired
3521,02-0026-00,Linwood,Anoka,,Impaired
3525,82-0014-00,Little Carnelian,Washington,,Impaired
3529,82-0021-00,Long,Washington,,Impaired
3530,82-0068-00,Long,Washington,,Impaired
3531,82-0015-02,Loon (Main Lake),Washington,,Impaired
3532,82-0025-00,Louise,Washington,,Impaired
3533,82-0042-00,Lynch,Washington,,Impaired
3534,02-0034-00,Martin,Anoka,,Impaired
3544,82-0026-02,Mud (main lake),Washington,,Impaired
3562,82-0148-00,Plaisted,Washington,,Impaired
3581,82-0162-00,Shields,Washington,,Impaired
3596,82-0151-00,South School Section,Washington,,Impaired
3597,82-0019-00,South Twin,Washington,,Impaired
3601,82-0046-00,Square,Washington,,Impaired
3611,82-0001-00,St. Croix,Washington,,Impaired
3615,82-0107-00,Sunfish,Washington,,Impaired
3638,30-0009-00,Typo,Anoka,,Impaired
3639,82-0077-00,Unnamed,Washington,,Impaired
3640,82-0135-00,Unnamed,Washington,,Impaired
3670,19-0021-00,Alimagnet,Dakota,,Impaired
3692,19-0006-00,Byllesby,Dakota,,Impaired
3739,19-0020-00,Chub,Dakota,,Impaired
3777,19-0023-00,Farquar,Dakota,,Impaired
3821,19-0022-00,Long,Dakota,,Impaired
3831,19-0026-01,MARION (EAST BAY),Dakota,,Impaired
3832,19-0026-02,MARION (MIDDLE BAY),Dakota,,Impaired
3833,19-0026-03,MARION (WEST BAY),Dakota,,Impaired
3996,19-0349-00,Unnamed,Dakota,,Impaired
4207,27-0153-00,Ardmore,Hennepin,,Impaired
4217,62-0002-00,Bald Eagle,Anoka,,Impaired
4219,02-0013-00,Baldwin,Anoka,,Impaired
4222,27-0098-00,Bass,Hennepin,,Impaired
4235,82-0091-00,Battle Creek,Washington,,Impaired
4239,27-0031-00,Bde Maka Ska,Hennepin,,Impaired
4245,62-0016-00,Beaver,Ramsey,,Impaired
4258,62-0048-00,Bennett,Ramsey,,Impaired
4311,27-0038-00,Brownie,Hennepin,,Impaired
4338,82-0166-00,Carver,Washington,,Impaired
4342,27-0039-00,Cedar,Hennepin,,Impaired
4348,27-0119-00,Cedar Island,Hennepin,,Impaired
4358,02-0006-00,Centerville,Anoka,,Impaired
4361,27-0137-00,Christmas,Carver,,Impaired
4362,10-0046-00,Church,Carver,,Impaired
4367,82-0163-00,Clear,Washington,,Impaired
4383,82-0094-00,Colby,Washington,,Impaired
4391,62-0055-00,Como,Ramsey,,Impaired
4436,27-0169-00,Cowley,Hennepin,,Impaired
4437,02-0084-00,Crooked,Anoka,,Impaired
4534,27-0034-00,Crystal,Hennepin,,Impaired
4546,27-0125-00,Diamond,Hennepin,,Impaired
4560,27-0181-00,Dutch,Hennepin,,Impaired
4565,10-0121-00,Eagle,Carver,,Impaired
4567,27-0111-01,Eagle,Hennepin,,Impaired
4571,10-0044-02,East Auburn,Carver,,Impaired
4576,02-0075-01,East Moore,Anoka,,Impaired
4577,27-0191-02,East Sarah,Hennepin,,Impaired
4580,02-0133-00,East Twin,Anoka,,Impaired
4582,62-0038-01,East Vadnais,Ramsey,,Impaired
4638,27-0118-00,Fish,Hennepin,,Impaired
4642,82-0137-00,Fish,Washington,,Impaired
4647,27-0139-00,Forest,Hennepin,,Impaired
4665,02-0091-00,George,Anoka,,Impaired
4669,02-0005-00,George Watch,Anoka,,Impaired
4670,62-0007-00,Gervais,Ramsey,,Impaired
4678,62-0027-00,Gilfillan,Ramsey,,Impaired
4682,27-0095-00,Gleason,Hennepin,,Impaired
4683,02-0045-00,Golden,Anoka,,Impaired
4686,27-0122-00,Goose,Hennepin,,Impaired
4688,62-0034-00,Goose,Ramsey,,Impaired
4721,27-0109-00,Hadley,Hennepin,,Impaired
4722,27-0199-00,Hafften,Hennepin,,Impaired
4724,27-0152-00,Half Moon,Hennepin,,Impaired
4726,02-0053-00,Ham,Anoka,,Impaired
4736,27-0016-00,Harriet,Hennepin,,Impaired
4748,27-0175-00,Henry,Hennepin,,Impaired
4751,27-0018-00,Hiawatha,Hennepin,,Impaired
4758,27-0158-00,Holy Name,Hennepin,,Impaired
4775,27-0176-00,Independence,Hennepin,,Impaired
4781,27-0189-00,"Irene, Lake",Hennepin,,Impaired
4788,62-0075-02,ISLAND (BASIN N. OF I-694),Ramsey,,Impaired
4790,62-0075-01,Island (Basin S.of I-694),Ramsey,,Impaired
4803,62-0078-00,Johanna,Ramsey,,Impaired
4811,62-0057-00,Josephine,Ramsey,,Impaired
4836,62-0280-00,Kasota Pond North,Ramsey,,Impaired
4837,62-0281-00,Kasota Pond West,Ramsey,,Impaired
4843,62-0006-00,Kohlman,Ramsey,,Impaired
4851,82-0097-00,La,Washington,,Impaired
4854,27-0040-00,Lake of the Isles,Hennepin,,Impaired
4856,27-0182-00,Langdon,Hennepin,,Impaired
4862,27-0123-00,Laura,Hennepin,,Impaired
4883,62-0058-00,Little Johanna,Ramsey,,Impaired
4918,27-0160-00,Long,Hennepin,,Impaired
4950,27-0655-02,Loring (South Bay),Hennepin,,Impaired
4951,82-0134-01,Lost (North West Bay),Washington,,Impaired
4952,82-0134-02,Lost (South East Bay),Washington,,Impaired
4967,27-0042-03,Lower Twin,Hennepin,,Impaired
4973,27-0065-00,Magda,Hennepin,,Impaired
4979,62-0259-00,Mallard Marsh,Ramsey,,Impaired
4994,82-0089-00,Markgrafs,Washington,,Impaired
4996,02-0007-00,Marshan,Anoka,,Impaired
5012,62-0054-00,McCarron,Ramsey,,Impaired
5014,27-0057-00,Meadow,Hennepin,,Impaired
5015,27-0104-00,Medicine,Hennepin,,Impaired
5017,27-0042-02,Middle Twin,Hennepin,,Impaired
5045,27-0133-06,Minnetonka-Black Lake,Hennepin,,Impaired
5046,27-0133-03,Minnetonka-Carsons Bay,Hennepin,,Impaired
5047,27-0133-10,Minnetonka-Crystal Bay,Hennepin,,Impaired
5048,27-0133-08,Minnetonka-Emerald Lake,Hennepin,,Impaired
5049,27-0133-01,Minnetonka-Grays Bay,Hennepin,,Impaired
5050,27-0133-09,Minnetonka-Halsteds Bay,Hennepin,,Impaired
5052,27-0133-15,Minnetonka-Jennings Bay,Hennepin,,Impaired
5054,27-0133-02,Minnetonka-Lower Lake,Hennepin,,Impaired
5055,27-0133-11,Minnetonka-Maxwell Bay,Hennepin,,Impaired
5056,27-0133-13,Minnetonka-North Arm,Hennepin,,Impaired
5057,27-0133-07,Minnetonka-Seton Lake,Hennepin,,Impaired
5058,27-0133-04,Minnetonka-St. Albans Bay,Hennepin,,Impaired
5059,27-0133-12,Minnetonka-Stubbs Bay,Hennepin,,Impaired
5061,27-0133-05,Minnetonka-Upper Lake,Carver,,Impaired
5062,27-0133-14,Minnetonka-West Arm,Hennepin,,Impaired
5064,10-0009-00,Minnewashta,Carver,,Impaired
5103,27-0134-00,Mooney,Hennepin,,Impaired
5113,10-0094-00,Mud,Carver,,Impaired
5124,27-0019-00,Nokomis,Hennepin,,Impaired
5129,27-0179-01,North Little Long,Hennepin,,Impaired
5131,62-0067-01,North Long,Ramsey,,Impaired
5134,27-0184-01,North Whaletail,Hennepin,,Impaired
5136,27-0627-00,Northwood,Hennepin,,Impaired
5137,10-0093-00,Oak,Carver,,Impaired
5145,02-0003-00,Otter,Anoka,,Impaired
5154,27-0107-00,Parkers,Hennepin,,Impaired
5156,10-0042-00,Parley,Carver,,Impaired
5160,27-0138-00,Peavey,Hennepin,,Impaired
5165,02-0004-00,Peltier,Anoka,,Impaired
5167,27-0147-02,PETER (NORTH BAY),Hennepin,,Impaired
5168,62-0013-00,Phalen,Ramsey,,Impaired
5170,19-0079-00,Pickerel,Dakota,,Impaired
5174,27-0111-02,Pike,Hennepin,,Impaired
5176,62-0069-00,Pike,Ramsey,,Impaired
5195,62-0046-00,Pleasant,Ramsey,,Impaired
5203,27-0100-00,Pomerleau,Hennepin,,Impaired
5211,27-0014-00,Powderhorn,Hennepin,,Impaired
5223,62-0036-00,Priebe,Ramsey,,Impaired
5231,19-0003-00,Rebecca,Dakota,,Impaired
5232,27-0192-00,Rebecca,Hennepin,,Impaired
5238,02-0009-00,Reshanau,Anoka,,Impaired
5239,02-0008-00,Rice,Anoka,,Impaired
5254,27-0116-01,Rice Main Lake,Hennepin,,Impaired
5307,02-0080-00,Sandy,Anoka,,Impaired
5346,27-0151-00,School,Hennepin,,Impaired
5369,62-0083-00,Silver,Anoka,,Impaired
5395,62-0073-00,Snail,Ramsey,,Impaired
5398,27-0108-00,Snyder,Hennepin,,Impaired
5404,27-0179-02,South Little Long,Hennepin,,Impaired
5406,62-0067-02,South Long,Ramsey,,Impaired
5415,27-0184-02,South Whaletail,Hennepin,,Impaired
5422,27-0654-00,Spring,Hennepin,,Impaired
5428,27-0149-00,Spurzem,Hennepin,,Impaired
5443,10-0045-00,Steiger,Carver,,Impaired
5447,10-0056-00,Stone,Carver,,Impaired
5460,62-0028-00,Sucker,Ramsey,,Impaired
5466,19-0050-00,Sunfish,Dakota,,Impaired
5479,10-0095-00,Swede,Carver,,Impaired
5480,27-0035-01,Sweeney,Hennepin,,Impaired
5483,27-0171-00,Sylvan,Hennepin,,Impaired
5490,10-0010-00,Tamarack,Carver,,Impaired
5492,27-0141-00,Tanager,Hennepin,,Impaired
5493,82-0115-00,Tanners,Washington,,Impaired
5498,19-0048-00,Thompson,Dakota,,Impaired
5513,10-0051-00,Turbid,Carver,,Impaired
5515,62-0061-00,Turtle,Ramsey,,Impaired
5523,27-0656-00,Twin,Hennepin,,Impaired
5534,02-0079-00,Unnamed,Anoka,,Impaired
5535,27-0053-00,Unnamed,Hennepin,,Impaired
5537,62-0022-00,Unnamed,Ramsey,,Impaired
5538,62-0126-00,Unnamed,Ramsey,,Impaired
5539,62-0237-00,Unnamed,Ramsey,,Impaired
5541,82-0087-00,Unnamed,Washington,,Impaired
5691,27-0042-01,Upper Twin,Hennepin,,Impaired
5697,62-0071-00,Valentine,Ramsey,,Impaired
5702,10-0015-00,Virginia,Carver,,Impaired
5712,62-0011-00,Wakefield,Ramsey,,Impaired
5719,10-0048-00,Wassermann,Carver,,Impaired
5730,27-0117-00,Weaver,Hennepin,,Impaired
5738,27-0191-01,West Sarah,Hennepin,,Impaired
5741,62-0038-02,West Vadnais,Ramsey,,Impaired
5743,82-0167-00,White Bear,Ramsey,,Impaired
5745,82-0072-00,White Rock,Washington,,Impaired
5749,62-0043-00,Wilkinson,Ramsey,,Impaired
5755,82-0090-00,Wilmes,Washington,,Impaired
5757,27-0082-00,Windsor,Hennepin,,Impaired
5764,27-0037-00,Wirth,Hennepin,,Impaired
5769,27-0157-00,Wolsfeld,Hennepin,,Impaired
5772,10-0041-00,Zumbra-Sunny,Carver,,Impaired
